dist	tag	x	Q	error
gamma	quantile	2.6502358	0.90000000	0.00121000
gamma	cdf	15.631260	0.99000000	0.00000239
gamma	quantile	15.631260	0.99000000	0.00001000
gamma	cdf	34.321370	0.99900000	0.00000549
gamma	quantile	34.321370	0.99900000	0.00000000
gamma	cdf	5.4852295e-30	0.00100000	0.00000160
gamma	quantile	5.4852295e-30	0.00100000	-0.00001000
gamma	cdf	1.1284266e-19	0.01000000	0.00001637
gamma	quantile	1.1284266e-19	0.01000000	0.00000000
gamma	cdf	7.6852741e-10	0.10000000	-0.00002901
gamma	quantile	7.6852741e-10	0.10000000	-0.00050000
gamma	cdf	0.0058807930	0.50000000	0.00068407
gamma	quantile	0.0058807930	0.50000000	-0.00052000
gamma	cdf	2.6772578	0.90000000	-0.00002625
gamma	quantile	2.6772578	0.90000000	0.00000000
gamma	cdf	15.798581	0.99000000	-0.00001003
gamma	quantile	15.798581	0.99000000	-0.00002000
gamma	cdf	33.176986	0.99900000	-0.00000151
gamma	quantile	33.176986	0.99900000	-0.00001000
uniform	cdf	0.00083275361	0.00100000	-0.00000234
uniform	quantile	0.00083275361	0.00100000	0.00000000
uniform	cdf	0.0099203520	0.01000000	0.00001464
uniform	quantile	0.0099203520	0.01000000	0.00004000
uniform	cdf	0.10013996	0.10000000	0.00016860
uniform	quantile	0.10013996	0.10000000	-0.00016000
uniform	cdf	0.50077000	0.50000000	-0.00075489
uniform	quantile	0.50077000	0.50000000	0.00005000
uniform	cdf	0.90121625	0.90000000	0.00006772
uniform	quantile	0.90121625	0.90000000	0.00000000
uniform	cdf	0.98980327	0.99000000	0.00000944
uniform	quantile	0.98980327	0.99000000	0.00001000
uniform	cdf	0.99903511	0.99900000	0.00000375
uniform	quantile	0.99903511	0.99900000	-0.00001000
uniform	cdf	0.0011257772	0.00100000	-0.00000232
uniform	quantile	0.0011257772	0.00100000	0.00002000
uniform	cdf	0.010079200	0.01000000	0.00001651
uniform	quantile	0.010079200	0.01000000	-0.00005000
uniform	cdf	0.10039589	0.10000000	0.00013967
uniform	quantile	0.10039589	0.10000000	-0.00070000
uniform	cdf	0.50314829	0.50000000	-0.00018327
uniform	quantile	0.50314829	0.50000000	-0.00077000
uniform	cdf	0.90002754	0.90000000	0.00022547
uniform	quantile	0.90002754	0.90000000	-0.00065000
uniform	cdf	0.98996424	0.99000000	-0.00000513
uniform	quantile	0.98996424	0.99000000	-0.00002000
uniform	cdf	0.99912366	0.99900000	-0.00000049
uniform	quantile	0.99912366	0.99900000	-0.00001000
uniform	cdf	0.00094209094	0.00100000	0.00001018
uniform	quantile	0.00094209094	0.00100000	0.00001000
uniform	cdf	0.0097600389	0.01000000	0.00000971
uniform	quantile	0.0097600389	0.01000000	0.00003000
uniform	cdf	0.10040377	0.10000000	0.00003317
uniform	quantile	0.10040377	0.10000000	-0.00016000
uniform	cdf	0.50086002	0.50000000	-0.00007138
uniform	quantile	0.50086002	0.50000000	-0.00034000
uniform	cdf	0.90041630	0.90000000	-0.00013579
uniform	quantile	0.90041630	0.90000000	0.00067000
uniform	cdf	0.99014044	0.99000000	-0.00000637
uniform	quantile	0.99014044	0.99000000	-0.00002000
uniform	cdf	0.99912803	0.99900000	-0.00000221
uniform	quantile	0.99912803	0.99900000	0.00002000
uniform	cdf	0.0010370014	0.00100000	0.00000515
uniform	quantile	0.0010370014	0.00100000	-0.00001000
uniform	cdf	0.010563480	0.01000000	-0.00001002
uniform	quantile	0.010563480	0.01000000	-0.00001000
uniform	cdf	0.10021365	0.10000000	0.00007554
uniform	quantile	0.10021365	0.10000000	-0.00002000
uniform	cdf	0.50144279	0.50000000	-0.00073078
uniform	quantile	0.50144279	0.50000000	0.00023000
uniform	cdf	0.90064958	0.90000000	0.00003916
uniform	quantile	0.90064958	0.90000000	-0.00111000
uniform	cdf	0.99004486	0.99000000	-0.00001661
uniform	quantile	0.99004486	0.99000000	0.00000000
uniform	cdf	0.99904904	0.99900000	0.00000542
uniform	quantile	0.99904904	0.99900000	-0.00001000
uniform	cdf	0.00092181384	0.00100000	-0.00000115
uniform	quantile	0.00092181384	0.00100000	0.00001000
uniform	cdf	0.0089481758	0.01000000	-0.00002198
uniform	quantile	0.0089481758	0.01000000	0.00010000
uniform	cdf	0.099108358	0.10000000	-0.00001252
uniform	quantile	0.099108358	0.10000000	0.00006000
uniform	cdf	0.49751156	0.50000000	-0.00103255
uniform	quantile	0.49751156	0.50000000	0.00142000
uniform	cdf	0.89881342	0.90000000	0.00004072
uniform	quantile	0.89881342	0.90000000	0.00031000
uniform	cdf	0.98999024	0.99000000	-0.00001779
uniform	quantile	0.98999024	0.99000000	0.00009000
uniform	cdf	0.99893257	0.99900000	-0.00000033
uniform	quantile	0.99893257	0.99900000	0.00000000
mixture	cdf	-0.99599023	0.00100000	0.00000704
mixture	quantile	-0.99599023	0.00100000	-0.00001000
mixture	cdf	-0.96096202	0.01000000	-0.00002340
mixture	quantile	-0.96096202	0.01000000	0.00005000
mixture	cdf	-0.59424148	0.10000000	0.00001575
mixture	quantile	-0.59424148	0.10000000	-0.00043000
mixture	cdf	-1.2596110e-05	0.30000000	0.00021339
mixture	quantile	-1.2596110e-05	0.30000000	-0.00195000
mixture	cdf	1.1797940e-07	0.50000000	0.00032592
mixture	quantile	1.1797940e-07	0.50000000	-0.00242000
mixture	cdf	1.3017625e-05	0.70000000	-0.00006774
mixture	quantile	1.3017625e-05	0.70000000	-0.00014000
mixture	cdf	0.60490157	0.90000000	-0.00008755
mixture	quantile	0.60490157	0.90000000	-0.00062000
mixture	cdf	0.96128478	0.99000000	-0.00003698
mixture	quantile	0.96128478	0.99000000	0.00001000
mixture	cdf	0.99671287	0.99900000	-0.00000216
mixture	quantile	0.99671287	0.99900000	-0.00001000
mixture	cdf	-0.99602811	0.00100000	-0.00000008
mixture	quantile	-0.99602811	0.00100000	0.00000000
mixture	cdf	-0.96044380	0.01000000	0.00003939
mixture	quantile	-0.96044380	0.01000000	0.00008000
mixture	cdf	-0.60441169	0.10000000	-0.00006332
mixture	quantile	-0.60441169	0.10000000	0.00002000
mixture	cdf	-1.2768232e-05	0.30000000	0.00022105
mixture	quantile	-1.2768232e-05	0.30000000	0.00019000
mixture	cdf	4.1022568e-08	0.50000000	0.00009532
mixture	quantile	4.1022568e-08	0.50000000	0.00003000
mixture	cdf	1.2906895e-05	0.70000000	0.00043390
mixture	quantile	1.2906895e-05	0.70000000	-0.00164000
mixture	cdf	0.59791934	0.90000000	0.00048609
mixture	quantile	0.59791934	0.90000000	0.00046000
mixture	cdf	0.96101258	0.99000000	0.00005608
mixture	quantile	0.96101258	0.99000000	-0.00004000
mixture	cdf	0.99587135	0.99900000	-0.00000359
mixture	quantile	0.99587135	0.99900000	-0.00001000
mixture	cdf	-0.99648419	0.00100000	-0.00000338
mixture	quantile	-0.99648419	0.00100000	0.00002000
mixture	cdf	-0.96217338	0.01000000	-0.00001607
mixture	quantile	-0.96217338	0.01000000	0.00002000
mixture	cdf	-0.61255987	0.10000000	0.00015140
mixture	quantile	-0.61255987	0.10000000	0.00002000
mixture	cdf	-1.3124715e-05	0.30000000	0.00007115
mixture	quantile	-1.3124715e-05	0.30000000	-0.00020000
mixture	cdf	-5.3780464e-08	0.50000000	0.00013713
mixture	quantile	-5.3780464e-08	0.50000000	0.00270000
mixture	cdf	1.2586000e-05	0.70000000	0.00009208
mixture	quantile	1.2586000e-05	0.70000000	-0.00199000
mixture	cdf	0.58672305	0.90000000	0.00033505
mixture	quantile	0.58672305	0.90000000	-0.00005000
mixture	cdf	0.95831456	0.99000000	0.00004458
mixture	quantile	0.95831456	0.99000000	-0.00010000
mixture	cdf	0.99551245	0.99900000	-0.00000100
mixture	quantile	0.99551245	0.99900000	0.00000000
mixture	cdf	-0.99576411	0.00100000	-0.00000155
mixture	quantile	-0.99576411	0.00100000	0.00001000
mixture	cdf	-0.95887647	0.01000000	-0.00000234
mixture	quantile	-0.95887647	0.01000000	0.00005000
mixture	cdf	-0.60117432	0.10000000	0.00003392
mixture	quantile	-0.60117432	0.10000000	-0.00013000
mixture	cdf	-1.2824727e-05	0.30000000	0.00003022
mixture	quantile	-1.2824727e-05	0.30000000	-0.00031000
mixture	cdf	-1.0742195e-07	0.50000000	0.00002838
mixture	quantile	-1.0742195e-07	0.50000000	-0.00014000
mixture	cdf	1.2860350e-05	0.70000000	-0.00015439
mixture	quantile	1.2860350e-05	0.70000000	-0.00011000
mixture	cdf	0.59934072	0.90000000	-0.00012359
mixture	quantile	0.59934072	0.90000000	0.00132000
mixture	cdf	0.95935026	0.99000000	-0.00002711
mixture	quantile	0.95935026	0.99000000	0.00002000
mixture	cdf	0.99581558	0.99900000	0.00000610
mixture	quantile	0.99581558	0.99900000	0.00000000
mixture	cdf	-0.99613985	0.00100000	0.00000222
mixture	quantile	-0.99613985	0.00100000	-0.00001000
mixture	cdf	-0.95950737	0.01000000	-0.00001445
mixture	quantile	-0.95950737	0.01000000	-0.00001000
mixture	cdf	-0.60302343	0.10000000	-0.00002186
mixture	quantile	-0.60302343	0.10000000	-0.00055000
mixture	cdf	-1.2869726e-05	0.30000000	0.00001868
mixture	quantile	-1.2869726e-05	0.30000000	-0.00005000
mixture	cdf	-7.4126275e-09	0.50000000	-0.00008582
mixture	quantile	-7.4126275e-09	0.50000000	0.00300000
mixture	cdf	1.2782847e-05	0.70000000	-0.00016377
mixture	quantile	1.2782847e-05	0.70000000	-0.00003000
mixture	cdf	0.59739089	0.90000000	0.00009422
mixture	quantile	0.59739089	0.90000000	-0.00050000
mixture	cdf	0.96067577	0.99000000	-0.00000656
mixture	quantile	0.96067577	0.99000000	-0.00006000
mixture	cdf	0.99623664	0.99900000	-0.00000136
mixture	quantile	0.99623664	0.99900000	0.00004000
sequential	cdf	0.0031573006	0.00100000	0.00000000
sequential	quantile	0.0031573006	0.00100000	0.00000000
sequential	cdf	0.031431634	0.01000000	-0.00002765
sequential	quantile	0.031431634	0.01000000	-0.00003000
sequential	cdf	0.31417497	0.10000000	-0.00013845
sequential	quantile	0.31417497	0.10000000	0.00000000
sequential	cdf	1.5708120	0.50000000	0.00030459
sequential	quantile	1.5708120	0.50000000	0.00261000
sequential	cdf	2.8274491	0.90000000	0.00020077
sequential	quantile	2.8274491	0.90000000	-0.00023000
sequential	cdf	3.1101924	0.99000000	0.00001574
sequential	quantile	3.1101924	0.99000000	0.00000000
sequential	cdf	3.1384668	0.99900000	0.00000000
sequential	quantile	3.1384668	0.99900000	0.00000000
sequential	cdf	0.0031573006	0.00100000	0.00000000
sequential	quantile	0.0031573006	0.00100000	0.00000000
sequential	cdf	0.031431634	0.01000000	-0.00000193
sequential	quantile	0.031431634	0.01000000	-0.00002000
sequential	cdf	0.31417497	0.10000000	0.00009083
sequential	quantile	0.31417497	0.10000000	0.00008000
sequential	cdf	1.5708120	0.50000000	-0.00030431
sequential	quantile	1.5708120	0.50000000	0.00021000
sequential	cdf	2.8274491	0.90000000	0.00020055
sequential	quantile	2.8274491	0.90000000	-0.00011000
sequential	cdf	3.1101924	0.99000000	-0.00000034
sequential	quantile	3.1101924	0.99000000	-0.00007000
sequential	cdf	3.1384668	0.99900000	-0.00000222
sequential	quantile	3.1384668	0.99900000	0.00000000
sequential	cdf	0.0031573006	0.00100000	0.00000062
sequential	quantile	0.0031573006	0.00100000	-0.00001000
sequential	cdf	0.031431634	0.01000000	-0.00000732
sequential	quantile	0.031431634	0.01000000	0.00001000
sequential	cdf	0.31417497	0.10000000	-0.00029358
sequential	quantile	0.31417497	0.10000000	-0.00083000
sequential	cdf	1.5708120	0.50000000	-0.00043792
sequential	quantile	1.5708120	0.50000000	-0.00251000
sequential	cdf	2.8274491	0.90000000	0.00023541
sequential	quantile	2.8274491	0.90000000	0.00006000
sequential	cdf	3.1101924	0.99000000	-0.00000178
sequential	quantile	3.1101924	0.99000000	0.00000000
sequential	cdf	3.1384668	0.99900000	0.00000571
sequential	quantile	3.1384668	0.99900000	0.00000000
sequential	cdf	0.0031573006	0.00100000	0.00000000
sequential	quantile	0.0031573006	0.00100000	-0.00001000
sequential	cdf	0.031431634	0.01000000	-0.00000232
sequential	quantile	0.031431634	0.01000000	0.00012000
sequential	cdf	0.31417497	0.10000000	-0.00001378
sequential	quantile	0.31417497	0.10000000	0.00001000
sequential	cdf	1.5708120	0.50000000	0.00060833
sequential	quantile	1.5708120	0.50000000	-0.00059000
sequential	cdf	2.8274491	0.90000000	-0.00021950
sequential	quantile	2.8274491	0.90000000	0.00090000
sequential	cdf	3.1101924	0.99000000	-0.00001948
sequential	quantile	3.1101924	0.99000000	-0.00006000
sequential	cdf	3.1384668	0.99900000	0.00000250
sequential	quantile	3.1384668	0.99900000	-0.00001000
sequential	cdf	0.0031573006	0.00100000	0.00000091
sequential	quantile	0.0031573006	0.00100000	-0.00000500
sequential	cdf	0.031431634	0.01000000	-0.00001854
sequential	quantile	0.031431634	0.01000000	0.00011000
sequential	cdf	0.31417497	0.10000000	0.00016352
sequential	quantile	0.31417497	0.10000000	0.00101000
sequential	cdf	1.5708120	0.50000000	-0.00018756
sequential	quantile	1.5708120	0.50000000	-0.00192000
sequential	cdf	2.8274491	0.90000000	-0.00006338
sequential	quantile	2.8274491	0.90000000	0.00009000
sequential	cdf	3.1101924	0.99000000	0.00002595
sequential	quantile	3.1101924	0.99000000	-0.00005000
sequential	cdf	3.1384668	0.99900000	0.00000333
sequential	quantile	3.1384668	0.99900000	0.00000000
